RM,LSTAT,PTRATIO,MEDV
6.575,4.98,15.3,504000.0
6.421,9.14,17.8,453600.0
7.1850000000000005,4.03,17.8,728700.0
6.998,2.94,18.7,701400.0
7.147,5.33,18.7,760200.0
6.43,5.21,18.7,602700.0
6.0120000000000005,12.43,15.200000000000001,480900.0
6.172,19.150000000000002,15.200000000000001,569100.0
5.631,29.93,15.200000000000001,346500.0
6.0040000000000004,17.1,15.200000000000001,396900.0
6.377,20.45,15.200000000000001,315000.0
6.009,13.27,15.200000000000001,396900.0
5.889,15.71,15.200000000000001,455700.0
5.949,8.26,21.0,428400.0
6.096,10.26,21.0,382200.0
5.8340000000000005,8.47,21.0,417900.0
5.9350000000000005,6.58,21.0,485100.0
5.99,14.67,21.0,367500.0
5.456,11.69,21.0,424200.0
5.727,11.28,21.0,382200.0
5.57,21.02,21.0,285600.0
5.965,13.83,21.0,411600.0
6.142,18.72,21.0,319200.0
5.813,19.88,21.0,304500.0
5.924,16.3,21.0,327600.0
5.599,16.51,21.0,291900.0
5.813,14.81,21.0,348600.0
6.047,17.28,21.0,310800.0
6.495,12.8,21.0,386400.0
6.674,11.98,21.0,441000.0
5.713,22.6,21.0,266700.0
6.072,13.040000000000001,21.0,304500.0
5.95,27.71,21.0,277200.0
5.7010000000000005,18.35,21.0,275100.0
6.096,20.34,21.0,283500.0
5.933,9.68,19.200000000000003,396900.0
5.841,11.41,19.200000000000003,420000.0
5.8500000000000005,8.77,19.200000000000003,441000.0
5.966,10.13,19.200000000000003,518700.0
6.595,4.32,18.3,646800.0
7.024,1.98,18.3,732900.0
6.7700000000000005,4.84,17.900000000000002,558600.0
6.1690000000000005,5.8100000000000005,17.900000000000002,531300.0
6.211,7.44,17.900000000000002,518700.0
6.069,9.55,17.900000000000002,445200.0
5.682,10.21,17.900000000000002,405300.0
5.7860000000000005,14.15,17.900000000000002,420000.0
6.03,18.8,17.900000000000002,348600.0
5.399,30.810000000000002,17.900000000000002,302400.0
5.602,16.2,17.900000000000002,407400.0
5.963,13.450000000000001,16.8,413700.0
6.115,9.43,16.8,430500.0
6.511,5.28,16.8,525000.0
5.998,8.43,16.8,491400.0
5.888,14.8,21.1,396900.0
7.2490000000000006,4.8100000000000005,17.900000000000002,743400.0
6.383,5.7700000000000005,17.3,518700.0
6.816,3.95,15.100000000000001,663600.0
6.1450000000000005,6.86,19.700000000000003,489300.0
5.9270000000000005,9.22,19.700000000000003,411600.0
5.7410000000000005,13.15,19.700000000000003,392700.0
5.966,14.44,19.700000000000003,336000.0
6.456,6.73,19.700000000000003,466200.0
6.7620000000000005,9.5,19.700000000000003,525000.0
7.104,8.05,18.6,693000.0
6.29,4.67,16.1,493500.0
5.787,10.24,16.1,407400.0
5.878,8.1,18.900000000000002,462000.0
5.594,13.09,18.900000000000002,365400.0
5.885,8.790000000000001,18.900000000000002,438900.0
6.417,6.72,19.200000000000003,508200.0
5.961,9.88,19.200000000000003,455700.0
6.065,5.5200000000000005,19.200000000000003,478800.0
6.245,7.54,19.200000000000003,491400.0
6.273,6.78,18.7,506100.0
6.2860000000000005,8.94,18.7,449400.0
6.279,11.97,18.7,420000.0
6.140000000000001,10.27,18.7,436800.0
6.232,12.34,18.7,445200.0
5.8740000000000006,9.1,18.7,426300.0
6.727,5.29,19.0,588000.0
6.619,7.22,19.0,501900.0
6.3020000000000005,6.72,19.0,520800.0
6.167,7.51,19.0,480900.0
6.389,9.620000000000001,18.5,501900.0
6.63,6.53,18.5,558600.0
6.015000000000001,12.86,18.5,472500.0
6.121,8.44,18.5,466200.0
7.007000000000001,5.5,17.8,495600.0
7.079,5.7,17.8,602700.0
6.417,8.81,17.8,474600.0
6.405,8.200000000000001,17.8,462000.0
6.442,8.16,18.2,480900.0
6.211,6.21,18.2,525000.0
6.2490000000000006,10.59,18.2,432600.0
6.625,6.65,18.0,596400.0
6.163,11.34,18.0,449400.0
8.069,4.21,18.0,812700.0
7.82,3.5700000000000003,18.0,919800.0
7.416,6.19,18.0,697200.0
6.727,9.42,20.900000000000002,577500.0
6.781000000000001,7.67,20.900000000000002,556500.0
6.405,10.63,20.900000000000002,390600.0
6.1370000000000005,13.44,20.900000000000002,405300.0
6.167,12.33,20.900000000000002,422100.0
5.851,16.47,20.900000000000002,409500.0
5.836,18.66,20.900000000000002,409500.0
6.127,14.09,20.900000000000002,428400.0
6.474,12.27,20.900000000000002,415800.0
6.229,15.55,20.900000000000002,407400.0
6.195,13.0,20.900000000000002,455700.0
6.715,10.16,17.8,478800.0
5.913,16.21,17.8,394800.0
6.0920000000000005,17.09,17.8,392700.0
6.2540000000000004,10.450000000000001,17.8,388500.0
5.928,15.76,17.8,384300.0
6.176,12.040000000000001,17.8,445200.0
6.021,10.3,17.8,403200.0
5.872,15.370000000000001,17.8,428400.0
5.731,13.61,17.8,405300.0
5.87,14.370000000000001,19.1,462000.0
6.0040000000000004,14.27,19.1,426300.0
